cell,feature,group,perm_importance
1_none_baseline,BaseExcess_n,non_SOFA,0.0009204070234666184
1_none_baseline,HCO3_n,non_SOFA,0.0006059619133607141
1_none_baseline,FiO2_n,SOFA_other(MAP+resp),0.0037189843834642467
1_none_baseline,pH_n,non_SOFA,-0.0003140984880999287
1_none_baseline,PaCO2_n,non_SOFA,0.0005437623499904953
1_none_baseline,SaO2_n,SOFA_other(MAP+resp),0.000641714753378142
1_none_baseline,AST_n,non_SOFA,0.00041360788159502395
1_none_baseline,BUN_n,non_SOFA,0.00012512310415057625
1_none_baseline,Alkalinephos_n,non_SOFA,0.0012229070747197756
1_none_baseline,Calcium_n,non_SOFA,0.0009976419806680182
1_none_baseline,Chloride_n,non_SOFA,0.00047472473609870834
1_none_baseline,Creatinine_n,SOFA_lab_core,-6.319605081684388e-05
1_none_baseline,Bilirubin_direct_n,non_SOFA,4.159718145524405e-06
1_none_baseline,Glucose_n,non_SOFA,-0.0002473457429197301
1_none_baseline,Lactate_n,non_SOFA,0.00038116645815469696
1_none_baseline,Magnesium_n,non_SOFA,0.0007733101426349697
1_none_baseline,Phosphate_n,non_SOFA,0.0007118846235949106
1_none_baseline,Potassium_n,non_SOFA,9.100363930646948e-05
1_none_baseline,Bilirubin_total_n,SOFA_lab_core,-8.120463891729268e-05
1_none_baseline,TroponinI_n,non_SOFA,-0.00016862335834668673
1_none_baseline,Hct_n,non_SOFA,-0.0004049118520907613
1_none_baseline,Hgb_n,non_SOFA,0.0008829305183086667
1_none_baseline,PTT_n,non_SOFA,-0.0003897512824671545
1_none_baseline,WBC_n,non_SOFA,0.000676519651506563
1_none_baseline,Fibrinogen_n,non_SOFA,-4.105717640517925e-05
1_none_baseline,Platelets_n,SOFA_lab_core,0.0002645323906426966
1_none_baseline,HR_measured,non_SOFA,-0.0006910804160730588
1_none_baseline,O2Sat_measured,SOFA_other(MAP+resp),-0.0003647866105523978
1_none_baseline,Temp_measured,non_SOFA,-0.00024081538018749237
1_none_baseline,SBP_measured,non_SOFA,-0.0007864168592184861
1_none_baseline,MAP_measured,SOFA_other(MAP+resp),-0.0001740057537183648
1_none_baseline,DBP_measured,non_SOFA,0.00018569974229717956
1_none_baseline,Resp_measured,non_SOFA,0.0003604324766107281
