site,model,condition,arm,split,auprc,auroc
A,xgboost,5_SMOTENC,lab_indicators_only,15,0.1348764715493317,0.6858865469724784
A,xgboost,5_SMOTENC,lab_indicators_only,16,0.1673344184041362,0.691470075183388
A,xgboost,5_SMOTENC,lab_indicators_only,17,0.14735433475616838,0.7277211130493071
A,xgboost,5_SMOTENC,lab_indicators_only,18,0.16154004323770843,0.7199921290830383
A,xgboost,5_SMOTENC,lab_indicators_only,19,0.16079469466252366,0.7486205109444547
A,xgboost,5_SMOTENC,lab_indicators_only,20,0.1408495878219494,0.6987256149117529
A,xgboost,5_SMOTENC,lab_indicators_only,21,0.14931683095147327,0.7140974565619786
A,xgboost,5_SMOTENC,lab_indicators_only,22,0.1437735492888867,0.7065372222518452
A,xgboost,5_SMOTENC,lab_indicators_only,23,0.15954077269318792,0.7098507553053008
A,xgboost,5_SMOTENC,lab_indicators_only,24,0.15000309954912255,0.7150935918541552
A,lightgbm,1_none,full,0,0.17195284073103873,0.7127072875326596
A,lightgbm,1_none,full,1,0.1707657142128072,0.7289970216104632
A,lightgbm,1_none,full,2,0.1627633451260414,0.7309204061578775
A,lightgbm,1_none,full,3,0.16137782360640693,0.7003261889625525
A,lightgbm,1_none,full,4,0.1639569242092268,0.7372073349186025
A,lightgbm,1_none,full,5,0.16721973576234464,0.7348166881222437
A,lightgbm,1_none,full,6,0.1759664025847009,0.722579391981962
A,lightgbm,1_none,full,7,0.20603196936483814,0.7507255539728365
A,lightgbm,1_none,full,8,0.16145594626768223,0.7025285320739865
A,lightgbm,1_none,full,9,0.16511132444934662,0.7319142125480154
A,lightgbm,1_none,full,10,0.1815986148453674,0.7255196946960291
A,lightgbm,1_none,full,11,0.16057950525701437,0.7153162348890532
A,lightgbm,1_none,full,12,0.2003729048192983,0.7343672636141347
A,lightgbm,1_none,full,13,0.15517509666481774,0.7257061120697484
A,lightgbm,1_none,full,14,0.18438500028562538,0.7141027986098408
A,lightgbm,1_none,full,15,0.1710940539297145,0.7422321925060368
A,lightgbm,1_none,full,16,0.17600371565574668,0.7175138445600591
A,lightgbm,1_none,full,17,0.16262843894731788,0.7198295233815004
A,lightgbm,1_none,full,18,0.20467572990353813,0.7444184603275511
A,lightgbm,1_none,full,19,0.20910257970331259,0.7413419913419912
A,lightgbm,1_none,full,20,0.1792175838887433,0.7286313881123408
A,lightgbm,1_none,full,21,0.19548581411819843,0.7298882532621364
A,lightgbm,1_none,full,22,0.15705147849226606,0.7096870024908783
A,lightgbm,1_none,full,23,0.1892282722910353,0.7272954318408864
A,lightgbm,1_none,full,24,0.18245171515887162,0.7250663069325042
A,lightgbm,1_none,lab_indicators_only,0,0.14577597289478122,0.678002574669216
A,lightgbm,1_none,lab_indicators_only,1,0.17112597983083194,0.7118579513859794
A,lightgbm,1_none,lab_indicators_only,2,0.18779410007005157,0.7163331530557058
A,lightgbm,1_none,lab_indicators_only,3,0.1573602237910794,0.7064602064602065
A,lightgbm,1_none,lab_indicators_only,4,0.1471603982699088,0.7190453326016707
A,lightgbm,1_none,lab_indicators_only,5,0.17343458721419677,0.7009422679941194
A,lightgbm,1_none,lab_indicators_only,6,0.16059908482993676,0.7037606928754788
A,lightgbm,1_none,lab_indicators_only,7,0.1683926072389247,0.7190754042916232
A,lightgbm,1_none,lab_indicators_only,8,0.16232798859608455,0.6968107649925832
A,lightgbm,1_none,lab_indicators_only,9,0.17826963240583651,0.7127880921895007
A,lightgbm,1_none,lab_indicators_only,10,0.14686529035455947,0.6717639531075038
A,lightgbm,1_none,lab_indicators_only,11,0.1725718326593555,0.7072837239771784
A,lightgbm,1_none,lab_indicators_only,12,0.17823690732581518,0.7042025000190435
A,lightgbm,1_none,lab_indicators_only,13,0.15486133947002634,0.7009089395453032
A,lightgbm,1_none,lab_indicators_only,14,0.15943757531563857,0.7012682153527224
A,lightgbm,1_none,lab_indicators_only,15,0.17749929030042377,0.7246170369975397
A,lightgbm,1_none,lab_indicators_only,16,0.17100592257814043,0.688880171238355
A,lightgbm,1_none,lab_indicators_only,17,0.15691667259587957,0.7030675127019553
A,lightgbm,1_none,lab_indicators_only,18,0.1975547221336508,0.7337965065237793
A,lightgbm,1_none,lab_indicators_only,19,0.18033795261856758,0.7276880982866898
A,lightgbm,1_none,lab_indicators_only,20,0.17087927791219495,0.710067870718089
A,lightgbm,1_none,lab_indicators_only,21,0.18708424580006638,0.6944636994492647
A,lightgbm,1_none,lab_indicators_only,22,0.15755550501709992,0.6946274727869651
A,lightgbm,1_none,lab_indicators_only,23,0.1756774967233419,0.7296642751188206
A,lightgbm,1_none,lab_indicators_only,24,0.18087665765812685,0.7179554600329249
A,lightgbm,5_SMOTENC,full,0,0.1417859450127619,0.6927269403331835
A,lightgbm,5_SMOTENC,full,1,0.15112216345860618,0.7302462693957144
A,lightgbm,5_SMOTENC,full,2,0.1648212955065799,0.7375817914517936
