site,model,condition,arm,split,auprc,auroc
A,xgboost,1_none,lab_indicators_only,12,0.19892013070969805,0.727877815415701
A,xgboost,1_none,lab_indicators_only,13,0.22959849486550843,0.7434876488183673
A,xgboost,1_none,lab_indicators_only,14,0.2003842311302504,0.7263178225470969
A,xgboost,1_none,lab_indicators_only,15,0.21189295665503308,0.7272530563669805
A,xgboost,1_none,lab_indicators_only,16,0.2371118600881335,0.7727709435233058
A,xgboost,1_none,lab_indicators_only,17,0.21711980725427496,0.7006547017689824
A,xgboost,1_none,lab_indicators_only,18,0.1825183633899084,0.7198847090984727
A,xgboost,1_none,lab_indicators_only,19,0.23986643326722923,0.7484796259979002
A,xgboost,1_none,lab_indicators_only,20,0.2106376262139924,0.7221435385992349
A,xgboost,1_none,lab_indicators_only,21,0.2489195370353651,0.7729739902141399
A,xgboost,1_none,lab_indicators_only,22,0.2294894223322499,0.7572106337037697
A,xgboost,1_none,lab_indicators_only,23,0.17712165821433726,0.7125997900200076
A,xgboost,1_none,lab_indicators_only,24,0.23221444125097274,0.7334343614429192
A,xgboost,5_SMOTENC,full,0,0.19686599243358605,0.7280939875876585
A,xgboost,5_SMOTENC,full,1,0.18078653767128153,0.7116043659990888
A,xgboost,5_SMOTENC,full,2,0.25766663442677856,0.7275757215586063
A,xgboost,5_SMOTENC,full,3,0.2212225888046822,0.7565123511816327
A,xgboost,5_SMOTENC,full,4,0.2206079282007512,0.7483062934569441
A,xgboost,5_SMOTENC,full,5,0.17526659602578085,0.7052904901006166
A,xgboost,5_SMOTENC,full,6,0.187057765086596,0.701115271092094
A,xgboost,5_SMOTENC,full,7,0.24000165531501455,0.7713793308373448
A,xgboost,5_SMOTENC,full,8,0.20121973700008888,0.7249163051445099
A,xgboost,5_SMOTENC,full,9,0.1894481158176085,0.7191220459182663
A,xgboost,5_SMOTENC,full,10,0.1935580235518502,0.725900681596884
A,xgboost,5_SMOTENC,full,11,0.20932885943610113,0.7457954477922386
A,xgboost,5_SMOTENC,full,12,0.2130864332455165,0.7203749925714625
A,xgboost,5_SMOTENC,full,13,0.2091072787161419,0.7381391018402962
A,xgboost,5_SMOTENC,full,14,0.20211076243648504,0.7306560884293101
A,xgboost,5_SMOTENC,full,15,0.20704359243854314,0.7305282621738317
A,xgboost,5_SMOTENC,full,16,0.2063640601866192,0.7500693330163823
A,xgboost,5_SMOTENC,full,17,0.17106378111332732,0.6846734414928389
A,xgboost,5_SMOTENC,full,18,0.1938925784668138,0.7282195281392999
A,xgboost,5_SMOTENC,full,19,0.22041648336053724,0.7552247380202453
A,xgboost,5_SMOTENC,full,20,0.23157425405003343,0.741519380759887
A,xgboost,5_SMOTENC,full,21,0.2327759261509283,0.7599690972841266
A,xgboost,5_SMOTENC,full,22,0.2353776312845186,0.7423634634813098
A,xgboost,5_SMOTENC,full,23,0.19818800680041654,0.7418335611418159
A,xgboost,5_SMOTENC,full,24,0.19196132402452765,0.7381143400487312
A,xgboost,5_SMOTENC,lab_indicators_only,0,0.18709035501709637,0.702915228231684
A,xgboost,5_SMOTENC,lab_indicators_only,1,0.17843237525625427,0.7238366910322696
A,xgboost,5_SMOTENC,lab_indicators_only,2,0.23595572661965508,0.7206572769953052
A,xgboost,5_SMOTENC,lab_indicators_only,3,0.2390150721401048,0.7634307957449337
A,xgboost,5_SMOTENC,lab_indicators_only,4,0.19948686157108603,0.7305595174422058
A,xgboost,5_SMOTENC,lab_indicators_only,5,0.17506690542347145,0.699974427822529
A,xgboost,5_SMOTENC,lab_indicators_only,6,0.17721124776477434,0.6956478675145105
A,xgboost,5_SMOTENC,lab_indicators_only,7,0.23556019235241954,0.7739297953685546
A,xgboost,5_SMOTENC,lab_indicators_only,8,0.20141866222552832,0.7132733107505794
A,xgboost,5_SMOTENC,lab_indicators_only,9,0.18516321151125192,0.7131594065093797
A,xgboost,5_SMOTENC,lab_indicators_only,10,0.17790105848591103,0.7028119559765129
A,xgboost,5_SMOTENC,lab_indicators_only,11,0.19946413938187557,0.7258473485073592
A,xgboost,5_SMOTENC,lab_indicators_only,12,0.19123874956984066,0.708360571304055
A,xgboost,5_SMOTENC,lab_indicators_only,13,0.1937901571782292,0.7239951664982865
A,xgboost,5_SMOTENC,lab_indicators_only,14,0.17839017011266237,0.6956478675145104
A,xgboost,5_SMOTENC,lab_indicators_only,15,0.19425580152480063,0.7176438189096417
A,xgboost,5_SMOTENC,lab_indicators_only,16,0.2252472786408437,0.7480636278996058
A,xgboost,5_SMOTENC,lab_indicators_only,17,0.16455099647065907,0.6735454923634635
A,xgboost,5_SMOTENC,lab_indicators_only,18,0.1925083156169069,0.7264119173550445
A,xgboost,5_SMOTENC,lab_indicators_only,19,0.2037369870629795,0.7572997761534042
A,xgboost,5_SMOTENC,lab_indicators_only,20,0.21312377343356617,0.7280153039646711
A,xgboost,5_SMOTENC,lab_indicators_only,21,0.20801905518018438,0.7491729561617242
A,xgboost,5_SMOTENC,lab_indicators_only,22,0.20836234772516296,0.7202561359719499
A,xgboost,5_SMOTENC,lab_indicators_only,23,0.16634240842091422,0.6990798518254394
A,xgboost,5_SMOTENC,lab_indicators_only,24,0.18518981872840853,0.7255105881420733
A,lightgbm,1_none,full,0,0.21183795066142522,0.7317183519715166
A,lightgbm,1_none,full,1,0.21075086014443334,0.7149719696519483
A,lightgbm,1_none,full,2,0.23333959301793386,0.727887720132327
A,lightgbm,1_none,full,3,0.2614803417685183,0.7700867653176443
A,lightgbm,1_none,full,4,0.23608694687798376,0.7534220795943029
A,lightgbm,1_none,full,5,0.23556641762161654,0.738721194417397
A,lightgbm,1_none,full,6,0.20453253596908735,0.7136794041322476
A,lightgbm,1_none,full,7,0.26548896584121795,0.778693964065688
A,lightgbm,1_none,full,8,0.21007609780332387,0.7287989540619243
A,lightgbm,1_none,full,9,0.2451469256837245,0.7321715100730968
